noAnggota,link_foto,link_profil,nama,fraksi,dapil,akd_clean,ttl,agama,pendidikan,pekerjaan,organisasi,kotaLahir,usia,pendidikan_terakhir,is_kader,is_dewan,usia_kategori,rank_partai,partai
234,http://www.dpr.go.id//doksigota/photo/249.jpg,http://www.dpr.go.id//blog/profil/id/249,"I GUSTI AGUNG RAI WIRAJAYA, SE, MM",Fraksi Partai Demokrasi Indonesia Perjuangan,BALI,"['Komisi XI', 'Badan Anggaran', 'Badan Akuntabilitas Keuangan Negara']",Denpasar / 16 Desember 1965,Hindu,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD No. I PAGUYANGAN DENPASAR. Tahun: 1971 - 1977</li><li>SMP , SMP SWA DHARMA PGUYANGAN  DENPASAR. Tahun: 1978 - 1981</li><li>SMA , SMAN I DENPASAR. Tahun: 1981 - 1984</li><li>S1 EKONOMI, UNIVERSITAS PENDIDIKAN NASIONAL DENPASAR. Tahun: 1984 - 1989</li><li>S1 English Course Edith Cowwan, University Pert Western - Australia. Tahun: 1997 - </li><li>S2 , PROGRAM PASCASARJANA DI UNIVERSITAS PENDIDIKAN NASIONAL DENPASAR. Tahun: 2001 - 2003</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2019 - skrg</li><li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2014 - 2019</li><li>Anggota DPR RI, Sebagai:  Anggota . Tahun: 2009 - 2014</li><li>Anggota  DPR RI, Sebagai: Anggota. Tahun: 2004 - 2009</li><li>DPRD Provinsi Bali , Sebagai: Ketua Komis C. Tahun: 1999 - 2004</li><li>BPR Shanti Pala, Sebagai: Komisaris Utama. Tahun:  - </li><li>Puri Kuta Beach, Sebagai: Direktur Utama. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>DPP Taruna Merah Putih, Sebagai: Bendahara Umum. Tahun: 2012 - 2017</li><li>DPD PDI Perjuangan Prov.Bali, Sebagai: Sekertaris III. Tahun: 2000 - 2005</li><li>Humas Perhimpunan BANK Perkreditan Rakyat, Prov. Bali, Sebagai: Wakil Ketua. Tahun: 1998 - 2002</li><li>Perbarindo Bali, Sebagai: Wakil Ketua. Tahun: 1998 - 2002</li><li>DPD PDI Perjuangan Prov.Bali, Sebagai: Wakil Sekertaris III. Tahun: 1994 - 2000</li><li>Pemuda Demokrat DPC Kota Denpasar, Sebagai: Sekretaris. Tahun: 1992 - </li><li>DPD PDI Perjuangan Prov.Bali, Sebagai: Wakil Sekertaris IV. Tahun: 1988 - 1994</li> </ul>
",Denpasar,55.0,5_s2,eksternal,dewan,"(49.0, 55.0]",1.0,PDIP
235,http://www.dpr.go.id//doksigota/photo/1989.jpg,http://www.dpr.go.id//blog/profil/id/1989,"I KETUT KARIYASA ADNYANA, S.P.",Fraksi Partai Demokrasi Indonesia Perjuangan,BALI,"['Komisi IX', 'Badan Legislasi']",Busungbiu Buleleng  / 23 September 1969,Hindu,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD 5 Busung Biu. Tahun: 1975 - 1981</li><li>SMP , SMP Gotogn Royong   . Tahun: 1981 - 1984</li><li>SMA , SMAK Widyapura. Tahun: 1984 - 1987</li><li>S1 Fakultas Pertanian , Universitas Udayana. Tahun: 1988 - 1997</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2019 - skrg</li><li>DPRD Provensi Bali, Sebagai: Sekretaris Komisi III. Tahun: 2014 - 2019</li><li>DPRD Provensi Bali, Sebagai: Ketua Komisi IV. Tahun: 2009 - 2014</li><li>DPRD Provensi Bali, Sebagai: Anggota . Tahun: 2004 - 2009</li><li>DPRD kabupaten Buleleng , Sebagai: Anggota . Tahun: 1999 - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>PAGMNI Bali, Sebagai: Sekretaris. Tahun: 2017 - </li><li>BPM FP UNUD, Sebagai: Ketua . Tahun: 2000 - 2002</li><li>GMNI Bali, Sebagai: Anggota . Tahun: 2000 - 2007</li><li>Sekaa Taruna Teruni , Sebagai: Ketua . Tahun: 1986 - 1996</li> </ul>
",Busungbiu Buleleng ,51.0,4_s1,eksternal,dewan,"(49.0, 55.0]",1.0,PDIP
236,"http://www.dpr.go.id//doksigota/photo/332_H._RACHMAT_HIDAYAT,SH..jpg",http://www.dpr.go.id//blog/profil/id/332,"H. RACHMAT HIDAYAT,SH.",Fraksi Partai Demokrasi Indonesia Perjuangan,NUSA TENGGARA BARAT II,"['Badan Musyawarah', 'Komisi VIII']",Lombok Timur / 28 Nopember 1952,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN RUMBUK. Tahun:  - 1964</li><li>SMP , SMP SELONG. Tahun:  - 1967</li><li>SMA , PERSAMAAN. Tahun:  - 1987</li><li>S1 HUKUM, UNIV.AL AZHAR MATARAM. Tahun:  - 2007</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR-RI, Sebagai: Anggota. Tahun: 2009 - 2014</li><li>Anggota DPRD NTB, Sebagai: Waki Ketua. Tahun: 2004 - 2009</li><li>Anggota DPRD NTB, Sebagai: Waki Ketua. Tahun: 1999 - 2004</li><li>Anggota DPRD Lombok Timur, Sebagai: Anggota. Tahun: 1992 - 1996</li><li>Anggota DPRD Lombok Timur, Sebagai: Anggota. Tahun: 1987 - 1992</li><li>Anggota DPRD Lombok Timur, Sebagai: Anggota. Tahun: 1982 - 1987</li><li>Wiraswata, Sebagai: Kontraktor. Tahun: 1971 - 1982</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>DPD PDI Perjuangan NTB, Sebagai: Ketua. Tahun: 2000 - 2015</li><li>DPD PDI Perjuangan NTB, Sebagai: Sekretaris. Tahun: 1996 - 2000</li><li>DPC PDI Perjuangan Lombok Timur, Sebagai: Ketua. Tahun: 1987 - 1992</li><li>KAPPI, Sebagai: Anggota. Tahun: 1986 - 1970</li><li>DPC PDI Lombok Timur, Sebagai: Ketua. Tahun: 1982 - 1987</li><li>DPC PDI Lombok Timur, Sebagai: Sekretaris. Tahun: 1977 - 1982</li><li>Korcam PDI Kec.Sakra, Sebagai: Ketua. Tahun: 1976 - 1977</li><li>Komdes PDI Rumbuk, Sebagai: Ketua. Tahun: 1974 - 1976</li><li>GSNI, Sebagai: Anggota. Tahun: 1967 - 1970</li> </ul>
",Lombok Timur,68.0,4_s1,eksternal,dewan,"(61.0, 81.0]",1.0,PDIP
237,http://www.dpr.go.id//doksigota/photo/1035_Andreas_Hugo_Pareira_.jpg,http://www.dpr.go.id//blog/profil/id/1035,Dr. Andreas Hugo Pareira,Fraksi Partai Demokrasi Indonesia Perjuangan,NUSA TENGGARA TIMUR I,"['Badan Kerja Sama Antar Parlemen', 'Komisi X']",,,,,,,,0_no_data,no_data,no_data,nan,1.0,PDIP
238,http://www.dpr.go.id//doksigota/photo/336_HERMAN_HERY.jpg,http://www.dpr.go.id//blog/profil/id/336,HERMAN HERY,Fraksi Partai Demokrasi Indonesia Perjuangan,NUSA TENGGARA TIMUR II,['Komisi III'],Flores / 26 Nopember 1962,Kristen,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD KATOLIK ENDE. Tahun:  - 1975</li><li>SMP , SMP KATOLIK. Tahun:  - </li><li>SMA IPS, SMA (PAKET C). Tahun:  - 2003</li><li>SMA , SMA Katholik Ende. Tahun:  - 1982</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPR RI, Sebagai: Anggota. Tahun: 2009 - skrg</li><li>DPR RI, Sebagai: Anggota. Tahun: 2004 - 2009</li><li>Dwi Mukti Group, Sebagai: CEO/OWNER. Tahun: 1995 - 2004</li><li>PT.Sarang Teknik, Sebagai: Marketing Director. Tahun: 1989 - 1994</li><li>PT.Aneka Spring, Sebagai: Sales Supervisor. Tahun: 1984 - 1989</li><li>PT.Bumi Asih Group, Sebagai: Sales Marketing. Tahun: 1980 - 1984</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>KADIN NTT, Sebagai: Anggota. Tahun: 1994 - 2004</li><li>HIPMI, Sebagai: Anggota. Tahun: 1989 - 1994</li><li>DPP BMI, Sebagai: Ketua. Tahun: - - -</li><li>Badiklat PDI Perjuangan, Sebagai: Bendahara. Tahun: - - -</li><li>Harley Owner Group, Sebagai: Ketua Umum. Tahun: - - -</li> </ul>
",Flores,58.0,2_sma,eksternal,dewan,"(55.0, 61.0]",1.0,PDIP
239,http://www.dpr.go.id//doksigota/photo/1993.jpg,http://www.dpr.go.id//blog/profil/id/1993,"YOHANIS FRANSISKUS LEMA, S.IP., M.Si.",Fraksi Partai Demokrasi Indonesia Perjuangan,NUSA TENGGARA TIMUR II,['Komisi IV'],Kupang / 27 Maret 1976,Katolik,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD -, SDK ST.Yoseph 4, Kupang. Tahun: 1982 - 1988</li><li>SMP , Seminari Pius XII,Manggarai. Tahun: 1988 - 1991</li><li>SMA Ilmu Politik, SMAK Suradikara, Ende. Tahun: 1994 - 2001</li><li>DIPLOMA , . Tahun:  - </li><li>S1 Ilmu Politik, Universitas Nasional Jakarta. Tahun: 1994 - 2001</li><li>S2 Ilmu Sosial Ilmu Politik, Universitas Indonesia Jakarta. Tahun: 2001 - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Patra Government, Sebagai: Direktur Politik. Tahun: 2017 - 2019</li><li>TVRI Pusat Senayan, Jakarta, Sebagai: Presenter. Tahun: 2009 - 2014</li><li>Universitas Nasional , Jakarta, Sebagai: Dosen Fisip. Tahun: 2004 - 2017</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Perhimpunan Mahasiswa, Sebagai: Presidium. Tahun: 1994 - 2000</li><li>Katolik Indonesia (PMKRI), Sebagai: . Tahun:  - </li> </ul>
",Kupang,44.0,5_s2,eksternal,non-dewan,"(23.0, 44.0]",1.0,PDIP
240,http://www.dpr.go.id//doksigota/photo/1994.jpg,http://www.dpr.go.id//blog/profil/id/1994,"Drs. CORNELIS, M.H.",Fraksi Partai Demokrasi Indonesia Perjuangan,KALIMANTAN BARAT I,"['Badan Anggaran', 'Komisi II']",Sangau / 27 Juli 1953,Katolik,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , Sekolah Rakyat,Senakin. Tahun:  - 1966</li><li>SMP , SMP,senakin. Tahun:  - 1969</li><li>SMA , SMA,Kapuas. Tahun:  - 1972</li><li>DIPLOMA , IPDN,Pontianak. Tahun:  - 1978</li><li>S1 Administrasi Pemerintahan Daerah, Universitas Brawijaya,Malang. Tahun:  - 1987</li><li>S2 Magister Ilmu hukum, Universitas Tanjungpura,Pontianak. Tahun:  - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2019 - skrg</li><li>Kantor Gubernur Kalimantan Barat, Sebagai: Gubernur. Tahun: 2013 - 2018</li><li>Kantor Gubernur Kalimantan Barat, Sebagai: Gubernur. Tahun: 2008 - 2013</li><li>Kantor Bupati Kab.Landak, Sebagai: Bupati. Tahun: 2006 - 2008</li><li>Kantor Bupati Kab.Landak, Sebagai: Bupati. Tahun: 2001 - 2006</li><li>Kantor Dinas Pertambangan Provinsi Kalimantan Barat, Sebagai: Kepala Subdin. Tahun: 1999 - 2001</li><li>Kantor Kecamatan,Menyuke, Sebagai: Camat. Tahun: 1998 - 1999</li><li>Kantor Kecamatan,Menjalin, Sebagai: Camat. Tahun: 1989 - 1995</li><li>Kantor Kecamatan Mandor, Sebagai: Kaur Bangdes. Tahun: 1979 - 1986</li><li>Kantor Gubernur Kalimantan Barat, Sebagai: Pegawai Harian. Tahun: 1978 - 1978</li><li>Mantri Mandor, Sebagai: Pj.Mantri Polisi. Tahun:  - 1979</li><li>Kantor Bupati Pontianak, Sebagai: Pjs.Kabag Pemdes. Tahun:  - 1989</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>KBPPP daerah XV kalimantan Barat, Sebagai: Ketua. Tahun: 2004 - skrg</li><li>DPC PDI Perjuangan Landak,Kalbar, Sebagai: Wakil Ketua. Tahun: 2003 - 2003</li><li>DPD PDI Perjuangan Kalimantan Barat, Sebagai: Anggota Kehormatan. Tahun: 1999 - skrg</li><li>Banwanhat, Golkar,Menjalin Kalbar, Sebagai: Ketua. Tahun: 1995 - 1999</li><li>Banwanhat Golkar,Menjalin Kalbar, Sebagai: Ketua . Tahun: 1989 - 1995</li><li>AMPI,Mandor Kalbar, Sebagai: Ketua. Tahun: 1979 - 1986</li><li>FKKPI,menjalin,Kalbar, Sebagai: Anggota. Tahun: 1979 - skrg</li><li>KORPRI Kalimantan Barat, Sebagai: Anggota. Tahun: 1979 - 2001</li><li>FKKPI,menjalin,Kalbar, Sebagai: Penasihat. Tahun:  - skrg</li> </ul>
",Sangau,67.0,5_s2,eksternal,dewan,"(61.0, 81.0]",1.0,PDIP
241,http://www.dpr.go.id//doksigota/photo/2015.jpg,http://www.dpr.go.id//blog/profil/id/2015,"MARIA LESTARI, S.Pd.",Fraksi Partai Demokrasi Indonesia Perjuangan,KALIMANTAN BARAT I,"['Badan Anggaran', 'Komisi IV']",Kota Ponitianak / 31 Desember 1981,Katolik,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD SUSKER. Tahun: 1990 - 1995</li><li>SMP , SMP ABDI WACANA . Tahun: 1996 - 1998</li><li>SMA , SMA PERINTIS PEMBANGUNAN . Tahun: 1999 - 2001</li><li>DIPLOMA , . Tahun:  - </li><li>S1 PENDIDIKAN BAHASA SASTRA INDONESIA , UNIV KEJUANGAN 45. Tahun: 2006 - 2010</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2019 - skrg</li><li>PT. ALAM LENING , Sebagai: ADM.PAJAK. Tahun: 2006 - 2008</li><li>PT. SANBE FARMA, Sebagai: ADM.PAJAK. Tahun: 2004 - 2006</li><li>PT. SKR , Sebagai: ADM.PAJAK. Tahun: 2002 - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>TP PKK KAB LANDAK , Sebagai: KETUA PKK. Tahun: 2017 - 2022</li><li>DEKRANASDA , Sebagai: KETUA DEKRANASDA KAB LANDAK . Tahun: 2017 - 2022</li><li>KPPI, Sebagai: DEWAN KEHORMATAN . Tahun: 2017 - 2022</li><li>POSPERA , Sebagai: WAKIL KETUA . Tahun: 2017 - 2022</li><li>DAD KALBAR , Sebagai: ANGGOTA . Tahun: 2017 - 2022</li><li>PDIP, Sebagai: WAKIL SEKERTARIS BID INTERNAL . Tahun: 2015 - 2020</li><li>TP PKK LANDAK , Sebagai: WAKIL KETUA . Tahun: 2011 - 2016</li><li>GERAKAN ORGANISASI WANITA , Sebagai: KETUA GOW LANDAK . Tahun: 2011 - 2016</li><li>PAUD, Sebagai: DPD KALBAR/ KETUA PAUD KAB LANDAK . Tahun:  - </li> </ul>
",Kota Ponitianak,39.0,4_s1,internal,dewan,"(23.0, 44.0]",1.0,PDIP
242,http://www.dpr.go.id//doksigota/photo/320.jpg,http://www.dpr.go.id//blog/profil/id/320,"LASARUS, S.SOS., M.Si",Fraksi Partai Demokrasi Indonesia Perjuangan,KALIMANTAN BARAT II,['Komisi V'],Pauh Desa / 15 Juni 1970,Katolik,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD BANTUAN PAUH. Tahun: 1972 - 1984</li><li>SMP , SMP 17 AGUSTUS. Tahun: 1984 - 1987</li><li>SMA , SMA PANCA SATYA. Tahun: 1987 - 1990</li><li>S1 ADM.NEGARA, UNIVERSITAS TANJUNG PURA. Tahun: 1991 - 1998</li><li>S2 ILMU SOSIAL &amp; POLITIK, UNIVERSITAS TANJUNG PURA. Tahun: 2006 - 2008</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2019 - skrg</li><li>Anggota RUU Arsitek , Sebagai: Anggota . Tahun: 2017 - </li><li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2014 - 2019</li><li>Wakil Ketua Komisi V, Sebagai: Wakil Ketua . Tahun: 2014 - </li><li>Wakil Ketua Komisi V, Sebagai: Wakil Ketua. Tahun: 2013 - 2014</li><li>Anggtoa BURT DPR RI, Sebagai: Anggota . Tahun: 2012 - </li><li>Anggota Panja RUU Perumbahan dan Pemungkiman , Sebagai: Anggota . Tahun: 2011 - </li><li>Anggota RUU Rumah Susun , Sebagai: Anggota . Tahun: 2011 - </li><li>Anggota Panja RUU Tentang Jalan, Sebagai: Anggota . Tahun: 2011 - </li><li>Anggota Pansus Pencepatan Pembangunan Daerah Kepulauan , Sebagai: Anggota . Tahun: 2010 - </li><li>Anggota Depertemen Infrastruktur DPP PDI Peruangan , Sebagai: Anggota . Tahun: 2010 - </li><li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2009 - 2014</li><li>DPRD Kabupaten Sintang, Sebagai: Wakil Ketua. Tahun: 2004 - 2009</li><li>Anggota BKSAP, Sebagai: Anggota . Tahun:  - </li><li>Ketua Panja RUU SDA, Sebagai: Anggota . Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Ketua DPD PDI Perjuangan Prov. Kalimantan Barat  , Sebagai: Ketua DPD PDI Perjuangan . Tahun: 2019 - skrg</li><li>Wakil Ketua Bidang Buruh DPD PDI Perjuangan Prov. Kalimantan Barat 2015, Sebagai: Wakil Ketua. Tahun: 2015 - 2020</li><li>ORGANISASI PEMUDA KATOLIK, Sebagai: . Tahun: 2012 - skrg</li><li>Pengurus DPD PDI Perjuangan Prov. Kalimantan Barat, Sebagai: Pengurus. Tahun: 2010 - 2015</li><li>ANGGOTA DEPARTEMEN INFRASTRUKTUR PDI PERJUANGAN, Sebagai: Anggota. Tahun: 2010 - SKRG</li><li>PENGURUS DPC PDI PERJUANGAN KAB. SINTANG, Sebagai: Pengurus. Tahun: 2004 - 2009</li><li>PENGURUS DPD PDI PERJUANGAN PROPINSI KALBAR, Sebagai: Wakil Ketua. Tahun: 2004 - skrg</li><li>GAPEKSINDO , Sebagai: Ketua. Tahun:  - 2005</li><li>Taruna Merah Putih , Sebagai: Anggota. Tahun:  - </li> </ul>
",Pauh Desa,50.0,5_s2,eksternal,dewan,"(49.0, 55.0]",1.0,PDIP
243,http://www.dpr.go.id//doksigota/photo/1996.jpg,http://www.dpr.go.id//blog/profil/id/1996,"KRISANTUS KURNIAWAN, S.IP., M.Si.",Fraksi Partai Demokrasi Indonesia Perjuangan,KALIMANTAN BARAT II,['Komisi I'],Ng. Layung  / 03 Juni 1969,Katolik,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD -, NEGERI NANGKA SEPAUK KAB.SINTANG. Tahun: 1977 - 1982</li><li>SMP -, PANCA SETYA-KAB SINYANG. Tahun: 1982 - 1985</li><li>SMA IPS, PANCA SETYA-KAB SINYANG. Tahun: 1985 - 1987</li><li>DIPLOMA SARJAN ILMU POLITIK, -. Tahun: 1993 - 2002</li><li>S1 MAGISTER SAINS (m.si), UNIVERSITAS TERBUKA. Tahun: 2002 - 2005</li><li>S2 -, -. Tahun: - - -</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI, Sebagai: Anggota . Tahun: 2019 - skrg</li><li>Anggota DPRD Provensi Kalimantan Barat, Sebagai: Anggota . Tahun: 2014 - 2019</li><li>Anggota DPRD Provensi Kalimantan Barat, Sebagai: Anggota . Tahun: 2009 - 2014</li><li>Ketua DPRD Kabupaten Sanggau, Sebagai: Ketua . Tahun: 2004 - 2009</li><li>Anggota  DPRD Kabupaten Sanggau , Sebagai: Anggtoa . Tahun: 1999 - 1904</li><li>Kontraktor PT. PTPN XIII , Sebagai: . Tahun: 1998 - 1999</li><li>Kontraktor PT. Mitra Austral Sejahtera , Sebagai: . Tahun: 1997 - 1998</li><li>Kontraktor PT. Sime Indo Argo , Sebagai: . Tahun: 1995 - 1997</li><li>Rokan Group Holding Companye , Sebagai: . Tahun: 1991 - 1994</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Rakerdasus DPP PDI Perjuangan Prov. Kalbar, Sebagai: . Tahun: 2012 - </li><li>Rakor DPP dan Anggota DPRD PDI Perjuangan Se-Kalbar, Sebagai: . Tahun: 2010 - </li><li>Rakor 3 Pilar DPP PDI Perjuangan , Sebagai: . Tahun: 2010 - </li><li>Rakor Bidang Politik dan Pemenangan Pemilu Prov. Kalbar, Sebagai: . Tahun: 2010 - </li><li>Penasehat PWK Kab. Sanggau, Sebagai: Panasehat. Tahun: 2007 - 2008</li><li>Ketua Umum PABBSI Kab. Sanggau , Sebagai: Ketua Umum . Tahun: 2006 - 2010</li><li>Ketua Umum PSSI Kab. Sanggau , Sebagai: Ketua . Tahun: 2004 - 2005</li><li>Pengurus KONI Kab. Sanggau, Sebagai: Pengurus. Tahun: 2004 - 2008</li><li>Penesehat Dewan Adat Dayak Kec. Parindu, Sebagai: Penasehat. Tahun:  - </li><li>Pembina IMI Kab. Sanggau, Sebagai: Pembina . Tahun:  - </li><li>Koordinator Bidang Hubungan Luar Negeri dan Internasional  MADN, Sebagai: . Tahun:  - </li> </ul>
",Ng. Layung ,51.0,5_s2,eksternal,dewan,"(49.0, 55.0]",1.0,PDIP
244,http://www.dpr.go.id//doksigota/photo/1997.jpg,http://www.dpr.go.id//blog/profil/id/1997,"Dr. Ir. WILLY MIDEL YOSEPH, M.M.",Fraksi Partai Demokrasi Indonesia Perjuangan,KALIMANTAN TENGAH,"['Komisi VII', 'Badan Musyawarah']",Puruk Cahu / 01 Mei 1960,Kristen,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN 1 TUMBANG KUNYI. Tahun: 1967 - 1973</li><li>SMP , SMPN 1 PURUK CAHU . Tahun: 1973 - 1976</li><li>SMA IPA , SMAN 3 BANJARMASIN. Tahun: 1976 - 1980</li><li>S1 TEKNOLOGI HASIL HUTAN , UNIVERSITAS LAMBUNG MANGKURAT . Tahun: 1980 - 1985</li><li>S2 MAGISTER MANAJEMEN, PPM MANAJEMEN . Tahun: 1993 - 1995</li><li>S3 MANAJEMEN PENDIDIKAN, UNIVERSITAS NEGERI JAKARTA . Tahun: 2009 - 2011</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI , Sebagai: Anggota . Tahun: 2019 - skrg</li><li>Anggota DPR RI , Sebagai: Anggota Fraksi PDI Perjuangan . Tahun: 2014 - 2015</li><li>Anggota DPR RI Fraksi PDI Perjuangan Dapil Kalimantan Tengah Berhenti dalam rangka menjalankan tugas dari DPP PDI Perjuangan untuk maju PILKADA Gubernur Kalimantan Tengah, Sebagai: Calon Gubernur Kalteng. Tahun: 2014 - 2015</li><li>Pemerintah Kabupaten Murung Raya, Sebagai: Bupati. Tahun: 2008 - 2013</li><li>Pemerintah Kabupaten Murung Raya, Sebagai: Bupati. Tahun: 2003 - 2008</li><li>PT. Austral Byna ( Bakrie Group ) di Muara Teweh , Sebagai: General Manager. Tahun: 2001 - 2003</li><li>PT. Surya Alam Lestari, Sebagai: Direktur Utama . Tahun: 2001 - 2002</li><li>PT. Jaya Perkasa Lumber , Sebagai: Derektur Utama. Tahun: 2001 - 2002</li><li>PT. Surya Alam Lestari, Sebagai: Direktur Utama . Tahun: 2001 - 2002</li><li>Dewan Pertimbangan Otonomi Daerah Kota Palangkaraya, Sebagai: Anggota . Tahun: 2000 - 2002</li><li>PT. Pematang Abaditama , Sebagai: Kuasa Direksi . Tahun: 1999 - 2001</li><li>PT. Anugrah Bintang Itah, Sebagai: Direktur Utama . Tahun: 1999 - 1999</li><li>PT. Kayu Lapis Indonesia Group , Sebagai: Manager Administrasi  dan SDM. Tahun: 1995 - 1999</li><li>PT. Mangole Timber Producer ( Berito Group ), Sebagai: Manager. Tahun: 1985 - 1995</li><li>Advisor Direksi PT Adaro Metcoal, Sebagai: . Tahun:  - </li><li>Wirausaha di Sektor Pertambangan kuliner dan jasa, Sebagai: . Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Ikatan Cendekiawan Dayak Nasional , Sebagai: Ketua Umum. Tahun: 2019 - 2024</li><li>Badan Penelitian dan Pengembangan Pusat ( Balitbangpus ) PDI Perjuangan , Sebagai: Wakil Kepala. Tahun: 2018 - skrn</li><li>PB PERCASI, Sebagai: Wakil Ketua Umum . Tahun: 2017 - 2022</li><li>Badan Penelitian dan Pengembangan Pusat ( Balitbangpus ) PDI Perjuangan , Sebagai: Sekretaris . Tahun: 2016 - 2018</li><li>DPD Granat Provinsi Kalimantan Tengah, Sebagai: Ketua. Tahun: 2015 - 2020</li><li>Dewan Pakar Asosisasi Pemerintah Kabupaten Seluruh Indonesia ( APKASI ) , Sebagai: Ketua Dewan Pakar. Tahun: 2015 - 2020</li><li>Majelis Sinode Gareja Kalimantan Evangelis  (GKE), Sebagai: Ketua . Tahun: 2010 - 2015</li><li>DPC PDI Perjuangan Murung Jaya, Sebagai: Ketua. Tahun: 2005 - 2010</li><li>DPC PDI Perjuangan Kabupaten Barito Utara, Sebagai: Ketua . Tahun: 2001 - 2005</li><li>DPD PDI Perjuangan Kalimantan Tengah, Sebagai: Wakil Sekretaris. Tahun: 2000 - 2005</li> </ul>
",Puruk Cahu,60.0,6_s3,eksternal,dewan,"(55.0, 61.0]",1.0,PDIP
245,http://www.dpr.go.id//doksigota/photo/1998.jpg,http://www.dpr.go.id//blog/profil/id/1998,"H. AGUSTIAR SABRAN, S.Kom.",Fraksi Partai Demokrasi Indonesia Perjuangan,KALIMANTAN TENGAH,['Komisi III'],Sampit / 17 Agustus 1972,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MI Miftahul Ulum P.Bun. Tahun:  - </li><li>SMP , MTS. Tarmili P.Bun. Tahun:  - </li><li>SMA , Paket C. Tahun:  - 2003</li><li>DIPLOMA , Universitas Terbuka. Tahun:  - </li><li>S1 , . Tahun:  - </li><li>S2 , . Tahun:  - </li><li>S3 , . Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
",Sampit,48.0,6_s3,eksternal,non-dewan,"(44.0, 49.0]",1.0,PDIP
